# Command,Expeditor PWO2_Analytics.csv --outputDir PWO2_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFileU14596
# Started,2019-05-03 19:23:22
# Output folder,C:\Users\began\Documents\Product_80\Tutorial_PWO_2\PWO2_Analytics\PWO2_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-39,42.462857797995909,-0.45176177659171746,6.1491831408432924,49.0183254344,44.1121599876,43.25,3.0,30.0,43.7517442944,16.844,453.07,171.5,9.8000000000000000e+01,469.914,171.5,9.8000000000000000e+01,26.851,447.969,171.5,5.0000000000000000e+01,474.82,171.5,5.0000000000000000e+01,37.563,442.609,171.5,0.0000000000000000e+00,480.172,171.5,0.0000000000000000e+00,24.3281582612,7.056287469,0:11:48 (H:M:S)
Run-40,36.357087367504988,-2.3481418202945052,5.7573623963543366,53.0142472693,47.7081700685,43.25,3.0,30.0,48.6037786163,12.92225,455.023,171.5,9.8000000000000000e+01,467.94525,171.5,9.8000000000000000e+01,22.211,450.273,171.5,5.0000000000000000e+01,472.484,171.5,5.0000000000000000e+01,32.274,445.242,171.5,0.0000000000000000e+00,477.516,171.5,0.0000000000000000e+00,28.3118111248,6.58292499749,0:09:53 (H:M:S)
Run-41,42.081896865033215,-1.2212563474122913,6.7349839407039838,51.0088888889,45.5572752762,43.25,3.0,30.0,44.9963779049,16.508,452.414,171.5,9.8000000000000000e+01,468.922,171.5,9.8000000000000000e+01,27.688,446.625,171.5,5.0000000000000000e+01,474.313,171.5,5.0000000000000000e+01,39.453,440.742,171.5,0.0000000000000000e+00,480.195,171.5,0.0000000000000000e+00,22.6916978839,7.5210805607,0:11:49 (H:M:S)
Run-42,35.259971859776215,1.0612963909032258,6.4786362568622895,45.0375469337,40.1255952582,43.25,3.0,30.0,38.9975932611,12.1756666667,459.813,171.5,9.8000000000000000e+01,471.988666667,171.5,9.8000000000000000e+01,23.117,453.977,171.5,5.0000000000000000e+01,477.094,171.5,5.0000000000000000e+01,34.476,448.305,171.5,0.0000000000000000e+00,482.781,171.5,0.0000000000000000e+00,36.943361938,7.4596841521,0:07:52 (H:M:S)
Run-43,35.442716015923537,-0.90536054923929665,4.3586412870526745,49.0363180964,44.1255952582,43.25,3.0,30.0,44.7268623025,12.129,457.742,171.5,9.8000000000000000e+01,469.871,171.5,9.8000000000000000e+01,19.485,453.773,171.5,5.0000000000000000e+01,473.258,171.5,5.0000000000000000e+01,27.094,449.969,171.5,0.0000000000000000e+00,477.063,171.5,0.0000000000000000e+00,32.9668914011,5.52200806907,0:08:23 (H:M:S)
Run-44,36.077516903294629,1.0668353455692499,6.1247813897544647,45.0372398686,40.1255952582,43.25,3.0,30.0,40.5033243734,12.84,459.133,171.5,9.8000000000000000e+01,471.973,171.5,9.8000000000000000e+01,22.821,453.984,171.5,5.0000000000000000e+01,476.805,171.5,5.0000000000000000e+01,33.485,448.648,171.5,0.0000000000000000e+00,482.133,171.5,0.0000000000000000e+00,36.3445915797,7.05576789434,0:08:14 (H:M:S)
Run-45,41.284110561498117,0.95761514832026062,6.1595964303581994,47.0015931177,40.5288804798,43.25,3.0,30.0,40.5033240036,16.194,455.781,171.5,9.8000000000000000e+01,471.975,171.5,9.8000000000000000e+01,26.617,450.219,171.5,5.0000000000000000e+01,476.836,171.5,5.0000000000000000e+01,37.343,444.852,171.5,0.0000000000000000e+00,482.195,171.5,0.0000000000000000e+00,28.9476781245,7.0568071198,0:11:37 (H:M:S)
Run-46,42.067146265217033,-3.9580105945748922,5.7269589046078071,55.0384675528,50.1255952582,43.25,3.0,30.0,50.6050446279,16.611,450.336,171.5,9.8000000000000000e+01,466.947,171.5,9.8000000000000000e+01,25.977,445.461,171.5,5.0000000000000000e+01,471.438,171.5,5.0000000000000000e+01,35.985,440.453,171.5,0.0000000000000000e+00,476.438,171.5,0.0000000000000000e+00,18.6906046252,6.58537712575,0:08:17 (H:M:S)
Run-47,43.242840868666491,0.85352074265715938,6.9542582629787608,47.0060403751,40.9541734736,43.25,3.0,30.0,40.982552711,17.2,453.859,171.5,9.8000000000000000e+01,471.059,171.5,9.8000000000000000e+01,28.687,447.797,171.5,5.0000000000000000e+01,476.484,171.5,5.0000000000000000e+01,40.852,441.711,171.5,0.0000000000000000e+00,482.563,171.5,0.0000000000000000e+00,25.6946320654,7.47372231203,0:13:52 (H:M:S)
Run-48,39.222722919832115,-3.7218379909496395,5.2393797900687238,55.0289126336,50.1255952582,43.25,3.0,30.0,50.6075634578,14.805,452.125,171.5,9.8000000000000000e+01,466.93,171.5,9.8000000000000000e+01,23.258,447.781,171.5,5.0000000000000000e+01,471.039,171.5,5.0000000000000000e+01,32.445,443.188,171.5,0.0000000000000000e+00,475.633,171.5,0.0000000000000000e+00,22.5335985774,6.11012018586,0:08:45 (H:M:S)
